exam,questions_in_bank,必修二,必修三,必修四哲学,必修四文化,选必一,选必二,选必三思维,选必三推理
BJ-2020-BJ-GAOKAO,21,11,4,6,4,1,0,0,0
BJ-2021-BJ-GAOKAO,21,9,4,6,6,4,0,0,0
BJ-2022-BJ-GAOKAO,21,7,3,8,5,5,3,2,2
BJ-2023-BJ-GAOKAO,20,5,5,4,3,2,4,1,2
BJ-2023-CY-ERMO,21,2,5,0,0,0,0,0,0
BJ-2023-CY-YIMO,21,4,2,0,0,0,0,0,0
BJ-2023-DC-ERMO,21,6,4,0,0,0,0,0,0
BJ-2023-DC-YIMO,21,11,6,0,0,0,0,0,0
BJ-2023-FT-ERMO,22,7,3,0,0,0,0,0,0
BJ-2023-FT-YIMO,22,5,3,0,0,0,0,0,0
BJ-2023-HD-ERMO,21,12,3,0,0,0,0,0,0
BJ-2023-HD-QIZHONG,23,0,6,0,0,0,0,0,0
BJ-2023-HD-YIMO,21,12,5,0,0,0,0,0,0
BJ-2023-XC-ERMO,21,14,7,0,0,0,0,0,0
BJ-2023-XC-YIMO,21,9,4,0,0,0,0,0,0
BJ-2024-BJ-GAOKAO,21,5,5,7,4,3,3,1,4
BJ-2024-CY-ERMO,20,7,5,4,3,4,3,1,3
BJ-2024-CY-QIZHONG,20,4,0,8,4,2,0,1,7
BJ-2024-CY-YIMO,21,6,4,4,2,2,4,1,2
BJ-2024-DC-ERMO,21,7,5,4,4,3,4,1,1
BJ-2024-DC-YIMO,21,6,5,4,5,3,4,1,3
BJ-2024-FT-ERMO,21,6,7,2,3,3,3,1,4
BJ-2024-FT-YIMO,21,5,4,3,3,2,3,1,3
BJ-2024-HD-ERMO,21,4,5,5,4,3,4,1,2
BJ-2024-HD-QIZHONG,21,16,8,0,1,0,1,0,0
BJ-2024-HD-YIMO,20,5,3,4,3,3,3,1,3
BJ-2024-SJS-YIMO,20,4,3,4,6,4,4,2,2
BJ-2024-SY-ERMO,20,3,5,5,5,3,3,3,2
BJ-2024-XC-ERMO,19,7,5,4,4,4,4,1,2
BJ-2024-XC-YIMO,19,4,6,6,3,4,5,2,2
BJ-2025-BJ-GAOKAO,21,7,4,4,3,3,3,3,3
BJ-2025-CP-ERMO,22,9,5,6,5,3,3,2,2
BJ-2025-CY-ERMO,22,5,4,7,4,3,3,1,4
BJ-2025-CY-QIMO,22,7,4,6,5,3,4,1,3
BJ-2025-CY-YIMO,21,8,7,7,2,3,3,1,4
BJ-2025-DC-ERMO,21,5,4,6,3,2,4,1,3
BJ-2025-DC-QIMO,21,6,5,6,4,2,3,2,3
BJ-2025-DC-YIMO,21,6,8,5,5,2,3,3,2
BJ-2025-FS-YIMO,20,6,5,7,3,3,3,1,2
BJ-2025-FT-ERMO,21,7,7,4,3,3,4,4,4
BJ-2025-FT-QIMO,21,8,6,5,3,2,3,2,3
BJ-2025-FT-YIMO,21,9,7,4,4,3,3,1,3
BJ-2025-HD-ERMO,22,9,5,5,3,3,3,2,2
BJ-2025-HD-QIMO,22,2,3,8,5,0,9,5,1
BJ-2025-HD-QIZHONG,22,3,0,0,0,0,0,0,0
BJ-2025-HD-YIMO,22,4,9,6,3,4,2,1,2
BJ-2025-MTG-YIMO,21,9,4,6,3,4,4,2,1
BJ-2025-SJS-YIMO,21,7,6,7,3,3,2,1,3
BJ-2025-SY-YIMO,21,7,6,3,4,3,3,1,4
BJ-2025-XC-ERMO,20,9,4,7,4,3,3,0,3
BJ-2025-XC-QIMO,21,9,5,7,3,3,3,1,3
BJ-2025-XC-YIMO,22,8,5,7,3,3,3,2,2
BJ-2025-YQ-YIMO,21,8,4,6,4,4,3,1,3
BJ-2026-BJ-GAOKAO,21,8,4,0,2,0,3,2,4
BJ-2026-CP-ERMO,22,0,5,0,0,0,0,0,0
BJ-2026-CP-QIMO,21,0,4,0,0,0,0,0,0
BJ-2026-CY-ERMO,21,7,4,7,2,3,3,3,2
BJ-2026-CY-QIMO,21,8,5,6,1,3,3,0,3
BJ-2026-CY-QIZHONG,21,0,0,8,6,4,0,2,4
BJ-2026-CY-YIMO,21,5,5,7,3,4,3,3,3
BJ-2026-DC-ERMO,21,6,6,6,3,4,3,6,4
BJ-2026-DC-QIMO,21,6,4,7,3,3,3,0,3
BJ-2026-DC-YIMO,20,8,5,9,4,4,3,2,2
BJ-2026-FS-ERMO,21,7,4,2,6,3,4,1,2
BJ-2026-FS-YIMO,18,5,6,6,6,3,3,1,3
BJ-2026-FT-ERMO,22,8,6,6,2,2,3,1,2
BJ-2026-FT-QIMO,21,10,5,5,7,0,3,1,2
BJ-2026-FT-YIMO,21,3,5,5,3,2,3,0,4
BJ-2026-HD-ERMO,21,5,5,6,1,3,3,1,6
BJ-2026-HD-QIMO,21,4,3,7,5,0,7,1,5
BJ-2026-HD-QIZHONG,22,10,9,3,2,5,0,0,0
BJ-2026-HD-YIMO,21,6,4,7,5,3,3,1,2
BJ-2026-MTG-YIMO,21,7,3,5,5,4,3,1,1
BJ-2026-SJS-ERMO,20,6,4,6,5,1,4,3,1
BJ-2026-SJS-QIMO,20,3,0,3,2,1,3,1,2
BJ-2026-SJS-YIMO,21,5,5,4,2,1,4,3,3
BJ-2026-SY-ERMO,21,9,5,4,2,3,3,1,2
BJ-2026-SY-YIMO,20,5,4,8,4,4,3,6,4
BJ-2026-TZ-QIMO,21,7,5,7,3,4,3,2,3
BJ-2026-TZ-YIMO,21,5,5,4,4,1,2,1,2
BJ-2026-XC-ERMO,20,7,5,6,2,3,4,2,1
BJ-2026-XC-QIMO,21,5,4,6,2,3,3,0,3
BJ-2026-XC-YIMO,21,6,6,6,3,3,4,0,3
BJ-2026-YQ-YIMO,20,5,4,5,3,3,3,1,3
