book,exam,covered,book_median_per_exam,flag,other_targets_touch,bank_status
philosophy,BJ-2023-CY-ERMO,0,6,zero,0,已验收
philosophy,BJ-2023-CY-YIMO,0,6,zero,0,已验收
philosophy,BJ-2023-DC-ERMO,0,6,zero,0,已验收
philosophy,BJ-2023-DC-YIMO,0,6,zero,0,已验收
philosophy,BJ-2023-FT-ERMO,0,6,zero,0,已验收
philosophy,BJ-2023-FT-YIMO,0,6,zero,0,已验收
philosophy,BJ-2023-HD-ERMO,0,6,zero,0,已验收
philosophy,BJ-2023-HD-QIZHONG,0,6,zero,0,已验收
philosophy,BJ-2023-HD-YIMO,0,6,zero,0,已验收
philosophy,BJ-2023-XC-ERMO,0,6,zero,0,已验收
philosophy,BJ-2023-XC-YIMO,0,6,zero,0,已验收
philosophy,BJ-2024-FT-ERMO,2,6,low,14,已验收
philosophy,BJ-2024-HD-QIZHONG,0,6,zero,7,已验收
philosophy,BJ-2025-HD-QIZHONG,0,6,zero,0,待复核
philosophy,BJ-2026-BJ-GAOKAO,0,6,zero,11,已验收
philosophy,BJ-2026-CP-ERMO,0,6,zero,0,已验收
philosophy,BJ-2026-CP-QIMO,0,6,zero,0,已验收
philosophy,BJ-2026-FS-ERMO,2,6,low,16,已验收
culture,BJ-2023-CY-ERMO,0,3,zero,0,已验收
culture,BJ-2023-CY-YIMO,0,3,zero,0,已验收
culture,BJ-2023-DC-ERMO,0,3,zero,0,已验收
culture,BJ-2023-DC-YIMO,0,3,zero,0,已验收
culture,BJ-2023-FT-ERMO,0,3,zero,0,已验收
culture,BJ-2023-FT-YIMO,0,3,zero,0,已验收
culture,BJ-2023-HD-ERMO,0,3,zero,0,已验收
culture,BJ-2023-HD-QIZHONG,0,3,zero,0,已验收
culture,BJ-2023-HD-YIMO,0,3,zero,0,已验收
culture,BJ-2023-XC-ERMO,0,3,zero,0,已验收
culture,BJ-2023-XC-YIMO,0,3,zero,0,已验收
culture,BJ-2024-HD-QIZHONG,1,3,low,6,已验收
culture,BJ-2025-HD-QIZHONG,0,3,zero,0,待复核
culture,BJ-2026-CP-ERMO,0,3,zero,0,已验收
culture,BJ-2026-CP-QIMO,0,3,zero,0,已验收
culture,BJ-2026-CY-QIMO,1,3,low,15,已验收
culture,BJ-2026-HD-ERMO,1,3,low,19,待复核
xuanbi1,BJ-2020-BJ-GAOKAO,1,3,low,10,已验收
xuanbi1,BJ-2023-CY-ERMO,0,3,zero,0,已验收
xuanbi1,BJ-2023-CY-YIMO,0,3,zero,0,已验收
xuanbi1,BJ-2023-DC-ERMO,0,3,zero,0,已验收
xuanbi1,BJ-2023-DC-YIMO,0,3,zero,0,已验收
xuanbi1,BJ-2023-FT-ERMO,0,3,zero,0,已验收
xuanbi1,BJ-2023-FT-YIMO,0,3,zero,0,已验收
xuanbi1,BJ-2023-HD-ERMO,0,3,zero,0,已验收
xuanbi1,BJ-2023-HD-QIZHONG,0,3,zero,0,已验收
xuanbi1,BJ-2023-HD-YIMO,0,3,zero,0,已验收
xuanbi1,BJ-2023-XC-ERMO,0,3,zero,0,已验收
xuanbi1,BJ-2023-XC-YIMO,0,3,zero,0,已验收
xuanbi1,BJ-2025-HD-QIMO,0,3,zero,28,待复核
xuanbi1,BJ-2025-HD-QIZHONG,0,3,zero,0,待复核
xuanbi1,BJ-2026-BJ-GAOKAO,0,3,zero,11,已验收
xuanbi1,BJ-2026-CP-ERMO,0,3,zero,0,已验收
xuanbi1,BJ-2026-CP-QIMO,0,3,zero,0,已验收
xuanbi1,BJ-2026-FT-QIMO,0,3,zero,18,待复核
xuanbi1,BJ-2026-HD-QIMO,0,3,zero,25,已验收
xuanbi1,BJ-2026-SJS-ERMO,1,3,low,19,已验收
xuanbi1,BJ-2026-SJS-QIMO,1,3,low,11,已验收
xuanbi1,BJ-2026-SJS-YIMO,1,3,low,16,待复核
xuanbi1,BJ-2026-TZ-YIMO,1,3,low,13,待复核
xuanbi2,BJ-2020-BJ-GAOKAO,0,3,zero,11,已验收
xuanbi2,BJ-2021-BJ-GAOKAO,0,3,zero,16,已验收
xuanbi2,BJ-2023-CY-ERMO,0,3,zero,0,已验收
xuanbi2,BJ-2023-CY-YIMO,0,3,zero,0,已验收
xuanbi2,BJ-2023-DC-ERMO,0,3,zero,0,已验收
xuanbi2,BJ-2023-DC-YIMO,0,3,zero,0,已验收
xuanbi2,BJ-2023-FT-ERMO,0,3,zero,0,已验收
xuanbi2,BJ-2023-FT-YIMO,0,3,zero,0,已验收
xuanbi2,BJ-2023-HD-ERMO,0,3,zero,0,已验收
xuanbi2,BJ-2023-HD-QIZHONG,0,3,zero,0,已验收
xuanbi2,BJ-2023-HD-YIMO,0,3,zero,0,已验收
xuanbi2,BJ-2023-XC-ERMO,0,3,zero,0,已验收
xuanbi2,BJ-2023-XC-YIMO,0,3,zero,0,已验收
xuanbi2,BJ-2024-CY-QIZHONG,0,3,zero,22,已验收
xuanbi2,BJ-2024-HD-QIZHONG,1,3,low,6,已验收
xuanbi2,BJ-2025-HD-QIZHONG,0,3,zero,0,待复核
xuanbi2,BJ-2026-CP-ERMO,0,3,zero,0,已验收
xuanbi2,BJ-2026-CP-QIMO,0,3,zero,0,已验收
xuanbi2,BJ-2026-CY-QIZHONG,0,3,zero,25,已验收
xuanbi2,BJ-2026-HD-QIZHONG,0,3,zero,10,待复核
mind,BJ-2020-BJ-GAOKAO,0,1,zero,11,已验收
mind,BJ-2021-BJ-GAOKAO,0,1,zero,16,已验收
mind,BJ-2023-CY-ERMO,0,1,zero,0,已验收
mind,BJ-2023-CY-YIMO,0,1,zero,0,已验收
mind,BJ-2023-DC-ERMO,0,1,zero,0,已验收
mind,BJ-2023-DC-YIMO,0,1,zero,0,已验收
mind,BJ-2023-FT-ERMO,0,1,zero,0,已验收
mind,BJ-2023-FT-YIMO,0,1,zero,0,已验收
mind,BJ-2023-HD-ERMO,0,1,zero,0,已验收
mind,BJ-2023-HD-QIZHONG,0,1,zero,0,已验收
mind,BJ-2023-HD-YIMO,0,1,zero,0,已验收
mind,BJ-2023-XC-ERMO,0,1,zero,0,已验收
mind,BJ-2023-XC-YIMO,0,1,zero,0,已验收
