qid,exam,num,type,category,dup_of,dup_covered_by,mention_in,md,bank_status
BJ-2023-FT-YIMO-Q1,BJ-2023-FT-YIMO,1,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-FT-YIMO-Q5,BJ-2023-FT-YIMO,5,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-FT-YIMO-Q6,BJ-2023-FT-YIMO,6,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-FT-YIMO-Q7,BJ-2023-FT-YIMO,7,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-FT-YIMO-Q11,BJ-2023-FT-YIMO,11,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-FT-YIMO-Q12,BJ-2023-FT-YIMO,12,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-FT-YIMO-Q14,BJ-2023-FT-YIMO,14,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-FT-YIMO-Q15,BJ-2023-FT-YIMO,15,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-FT-YIMO-Q16,BJ-2023-FT-YIMO,16,非选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-FT-YIMO-Q17,BJ-2023-FT-YIMO,17,非选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-FT-YIMO-Q18,BJ-2023-FT-YIMO,18,非选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-FT-YIMO-Q19,BJ-2023-FT-YIMO,19,非选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-FT-YIMO-Q20,BJ-2023-FT-YIMO,20,非选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-FT-YIMO-Q21,BJ-2023-FT-YIMO,21,非选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-FT-YIMO-Q22,BJ-2023-FT-YIMO,22,非选择题,dup_of_covered,BJ-2026-FT-YIMO-Q21,bixiu3;philosophy,,True,已验收
BJ-2023-FT-ERMO-Q1,BJ-2023-FT-ERMO,1,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-FT-ERMO-Q3,BJ-2023-FT-ERMO,3,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-FT-ERMO-Q4,BJ-2023-FT-ERMO,4,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-FT-ERMO-Q5,BJ-2023-FT-ERMO,5,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-FT-ERMO-Q12,BJ-2023-FT-ERMO,12,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-FT-ERMO-Q14,BJ-2023-FT-ERMO,14,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-FT-ERMO-Q17,BJ-2023-FT-ERMO,17,非选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-FT-ERMO-Q18,BJ-2023-FT-ERMO,18,非选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-FT-ERMO-Q19,BJ-2023-FT-ERMO,19,非选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-FT-ERMO-Q20,BJ-2023-FT-ERMO,20,非选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-FT-ERMO-Q21,BJ-2023-FT-ERMO,21,非选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-FT-ERMO-Q22,BJ-2023-FT-ERMO,22,非选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-CY-YIMO-Q1,BJ-2023-CY-YIMO,1,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-CY-YIMO-Q3,BJ-2023-CY-YIMO,3,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-CY-YIMO-Q5,BJ-2023-CY-YIMO,5,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-CY-YIMO-Q7,BJ-2023-CY-YIMO,7,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-CY-YIMO-Q8,BJ-2023-CY-YIMO,8,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-CY-YIMO-Q9,BJ-2023-CY-YIMO,9,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-CY-YIMO-Q13,BJ-2023-CY-YIMO,13,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-CY-YIMO-Q14,BJ-2023-CY-YIMO,14,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-CY-YIMO-Q15,BJ-2023-CY-YIMO,15,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-CY-YIMO-Q16,BJ-2023-CY-YIMO,16,非选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-CY-YIMO-Q17,BJ-2023-CY-YIMO,17,非选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-CY-YIMO-Q18,BJ-2023-CY-YIMO,18,非选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-CY-YIMO-Q19,BJ-2023-CY-YIMO,19,非选择题,exam_untouched_by_targets,,,bixiu3,True,已验收
BJ-2023-CY-YIMO-Q20,BJ-2023-CY-YIMO,20,非选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-CY-YIMO-Q21,BJ-2023-CY-YIMO,21,非选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-DC-ERMO-Q3,BJ-2023-DC-ERMO,3,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-DC-ERMO-Q4,BJ-2023-DC-ERMO,4,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-DC-ERMO-Q5,BJ-2023-DC-ERMO,5,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-DC-ERMO-Q13,BJ-2023-DC-ERMO,13,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-DC-ERMO-Q14,BJ-2023-DC-ERMO,14,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-DC-ERMO-Q15,BJ-2023-DC-ERMO,15,选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-DC-ERMO-Q16,BJ-2023-DC-ERMO,16,非选择题,exam_untouched_by_targets,,,,True,已验收
BJ-2023-DC-ERMO-Q17,BJ-2023-DC-ERMO,17,非选择题,exam_untouched_by_targets,,,,True,已验收
