uid,exam,stage,num,subq,type,tier,IN,MAYBE,OUT_count,books_now,book_but_script_OUT,evidence_for_IN
BJ-2023-FT-YIMO-Q1,BJ-2023-FT-YIMO,一模,1,,选择题,不明,,B1 B2 B3 CU PH,4,,,
BJ-2023-FT-YIMO-Q2,BJ-2023-FT-YIMO,一模,2,,选择题,不明,B3,B2 CU PH RE,4,B3,,B3:词典判给本模块题肢1个；位置先验0.36；书稿已收:B3
BJ-2023-FT-YIMO-Q3,BJ-2023-FT-YIMO,一模,3,,选择题,不明,B3,B2 CU MI PH RE X1,2,B3,,B3:词典判给本模块题肢2个；位置先验0.42；书稿已收:B3
BJ-2023-FT-YIMO-Q4,BJ-2023-FT-YIMO,一模,4,,选择题,不明,B2 B3,CU MI PH RE,3,B2 B3,,B2:词典判给本模块题肢2个；位置先验0.30；书稿已收:B2/B3 | B3:位置先验0.36；书稿已收:B2/B3
BJ-2023-FT-YIMO-Q5,BJ-2023-FT-YIMO,一模,5,,选择题,不明,CU,B2 B3 MI PH RE,3,,,CU:词典判给本模块题肢2个；位置先验0.32
BJ-2023-FT-YIMO-Q6,BJ-2023-FT-YIMO,一模,6,,选择题,不明,,B2 B3 CU MI PH RE X1,2,,,
BJ-2023-FT-YIMO-Q7,BJ-2023-FT-YIMO,一模,7,,选择题,不明,,B1 B2 B3 CU MI PH RE,2,,,
BJ-2023-FT-YIMO-Q8,BJ-2023-FT-YIMO,一模,8,,选择题,倾向,B2,B3 PH,6,B2,,B2:词典判给本模块题肢1个；位置先验0.29；书稿已收:B2
BJ-2023-FT-YIMO-Q9,BJ-2023-FT-YIMO,一模,9,,选择题,不明,B2,B3 CU PH X2,4,B2,,B2:词典判给本模块题肢1个；位置先验0.33；书稿已收:B2
BJ-2023-FT-YIMO-Q10,BJ-2023-FT-YIMO,一模,10,,选择题,倾向,B2,B3 X2,6,B2,,B2:词典判给本模块题肢2个；位置先验0.56；书稿已收:B2
BJ-2023-FT-YIMO-Q11,BJ-2023-FT-YIMO,一模,11,,选择题,倾向,RE,B2 B3 X2,5,,,RE:设问问法:RE；位置先验0.07
BJ-2023-FT-YIMO-Q12,BJ-2023-FT-YIMO,一模,12,,选择题,不明,,B2 B3 MI X2,5,,,
BJ-2023-FT-YIMO-Q13,BJ-2023-FT-YIMO,一模,13,,选择题,倾向,B2 X2,B3 MI RE,4,B2,,B2:位置先验0.69；书稿已收:B2 | X2:词典判给本模块题肢2个；位置先验0.08；书稿已收:B2
BJ-2023-FT-YIMO-Q14,BJ-2023-FT-YIMO,一模,14,,选择题,不明,X2,B1 B2 B3 MI PH RE X1,1,,,X2:词典判给本模块题肢2个；位置先验0.04
BJ-2023-FT-YIMO-Q15,BJ-2023-FT-YIMO,一模,15,,选择题,不明,X1,B1 B2 B3 CU,4,,,X1:词典判给本模块题肢3个；位置先验0.80
BJ-2023-FT-YIMO-Q16,BJ-2023-FT-YIMO,一模,16,,主观题,不明,,B1 B2 B3 CU MI PH RE X1 X2,0,,,
BJ-2023-FT-YIMO-Q17(1),BJ-2023-FT-YIMO,一模,17,1,主观题,不明,B3,B2 CU PH X1,4,,,B3:设问点名:《政治与法治》
BJ-2023-FT-YIMO-Q17(2),BJ-2023-FT-YIMO,一模,17,2,主观题,不明,,B1 B2 B3 CU MI PH RE X1 X2,0,,,
BJ-2023-FT-YIMO-Q18,BJ-2023-FT-YIMO,一模,18,,主观题,不明,,B1 B2 B3 CU MI PH RE X1 X2,0,,,
BJ-2023-FT-YIMO-Q19,BJ-2023-FT-YIMO,一模,19,,主观题,倾向,MI,B2,7,,,MI:设问点名:创新思维
BJ-2023-FT-YIMO-Q20,BJ-2023-FT-YIMO,一模,20,,主观题,倾向,B2,B3,7,,,B2:设问点名:《经济与社会》
BJ-2023-FT-YIMO-Q21,BJ-2023-FT-YIMO,一模,21,,主观题,倾向,X1,B2,7,,,X1:设问点名:《当代国际政治与经济》
BJ-2023-FT-YIMO-Q22,BJ-2023-FT-YIMO,一模,22,,主观题,不明,,B1 B2 B3 CU MI PH RE X1 X2,0,,,
BJ-2024-CY-QIZHONG-Q1,BJ-2024-CY-QIZHONG,期中,1,,选择题,倾向,CU PH,B1 B2 B3,4,CU PH,,CU:位置先验0.47；书稿已收:CU/PH | PH:词典判给本模块题肢1个；位置先验0.40；书稿已收:CU/PH
BJ-2024-CY-QIZHONG-Q2,BJ-2024-CY-QIZHONG,期中,2,,选择题,倾向,CU,B2 B3 PH,5,CU,,CU:词典判给本模块题肢1个；位置先验0.33；书稿已收:CU
BJ-2024-CY-QIZHONG-Q3,BJ-2024-CY-QIZHONG,期中,3,,选择题,不明,PH,B2 B3 CU X1,4,PH,,PH:位置先验0.60；书稿已收:PH
BJ-2024-CY-QIZHONG-Q4,BJ-2024-CY-QIZHONG,期中,4,,选择题,不明,PH,B2 B3 CU MI,4,PH,,PH:词典判给本模块题肢1个；位置先验0.62；书稿已收:PH
BJ-2024-CY-QIZHONG-Q5,BJ-2024-CY-QIZHONG,期中,5,,选择题,不明,PH RE,B2 B3 CU MI X1,2,PH RE,,PH:词典判给本模块题肢1个；位置先验0.44；书稿已收:PH/RE | RE:词典判给本模块题肢1个；位置先验0.25；书稿已收:PH/RE
BJ-2024-CY-QIZHONG-Q6,BJ-2024-CY-QIZHONG,期中,6,,选择题,不明,CU PH,B2 B3 RE X1 X2,2,CU PH,,CU:位置先验0.19；书稿已收:CU/PH | PH:位置先验0.12；书稿已收:CU/PH
BJ-2024-CY-QIZHONG-Q7,BJ-2024-CY-QIZHONG,期中,7,,选择题,不明,CU RE,B2 B3 MI PH X1 X2,1,RE,,CU:词典判给本模块题肢2个；位置先验0.12；书稿已收:RE | RE:词典判给本模块题肢1个；位置先验0.06；书稿已收:RE
BJ-2024-CY-QIZHONG-Q8,BJ-2024-CY-QIZHONG,期中,8,,选择题,不明,RE,B2 B3 CU MI PH,3,RE,,RE:设问问法:RE；词典判给本模块题肢1个；位置先验0.11；书稿已收:RE
BJ-2024-CY-QIZHONG-Q9,BJ-2024-CY-QIZHONG,期中,9,,选择题,不明,RE,B2 B3 CU MI PH X2,2,RE,,RE:设问问法:RE；词典判给本模块题肢3个；位置先验0.11；书稿已收:RE
BJ-2024-CY-QIZHONG-Q10,BJ-2024-CY-QIZHONG,期中,10,,选择题,不明,PH RE,B1 B2 B3 X2,3,PH RE,,PH:词典判给本模块题肢1个；书稿已收:PH/RE | RE:词典判给本模块题肢3个；位置先验0.12；书稿已收:PH/RE
BJ-2024-CY-QIZHONG-Q11,BJ-2024-CY-QIZHONG,期中,11,,选择题,倾向,RE,B2 B3 X2,5,RE,,RE:设问问法:RE；词典判给本模块题肢4个；位置先验0.18；书稿已收:RE
BJ-2024-CY-QIZHONG-Q12,BJ-2024-CY-QIZHONG,期中,12,,选择题,不明,B2,B1 B3 RE X1 X2,3,B2,,B2:词典判给本模块题肢1个；位置先验0.36；书稿已收:B2
BJ-2024-CY-QIZHONG-Q13,BJ-2024-CY-QIZHONG,期中,13,,选择题,不明,B2,B1 B3 RE X1 X2,3,B2,,B2:词典判给本模块题肢4个；位置先验0.53；书稿已收:B2
BJ-2024-CY-QIZHONG-Q14,BJ-2024-CY-QIZHONG,期中,14,,选择题,不明,B2,B1 B3 RE X1,4,B2,,B2:词典判给本模块题肢3个；位置先验0.60；书稿已收:B2
BJ-2024-CY-QIZHONG-Q15,BJ-2024-CY-QIZHONG,期中,15,,选择题,不明,X1,B1 B2 B3 RE,4,X1,,X1:词典判给本模块题肢3个；位置先验0.64；书稿已收:X1
BJ-2024-CY-QIZHONG-Q16,BJ-2024-CY-QIZHONG,期中,16,,主观题,不明,PH,B1 B3 CU X1 X2,3,PH,,PH:设问点名:历史唯物主义；书稿已收:PH
BJ-2024-CY-QIZHONG-Q17,BJ-2024-CY-QIZHONG,期中,17,,主观题,不明,CU PH,B2 MI RE X2,3,CU PH,,CU:细则书名:CU/PH；书稿已收:CU/PH | PH:细则书名:CU/PH；书稿已收:CU/PH
BJ-2024-CY-QIZHONG-Q18,BJ-2024-CY-QIZHONG,期中,18,,主观题,不明,RE,B3 MI X1 X2,4,RE,,RE:设问点名:逻辑与思维；细则书名:MI/RE；书稿已收:RE
BJ-2024-CY-QIZHONG-Q19,BJ-2024-CY-QIZHONG,期中,19,,主观题,倾向,MI,B2 X2,6,MI,,MI:设问点名:创新思维；书稿已收:MI
BJ-2024-CY-QIZHONG-Q20(1),BJ-2024-CY-QIZHONG,期中,20,1,主观题,不明,B2,B3 RE X1 X2,4,B2,,B2:细则书名:B2；书稿已收:B2
BJ-2024-CY-QIZHONG-Q20(2),BJ-2024-CY-QIZHONG,期中,20,2,主观题,不明,B2,B3 RE X1 X2,4,B2,,B2:设问点名:《经济与社会》；细则书名:B2；书稿已收:B2
BJ-2024-CY-QIZHONG-Q20(3),BJ-2024-CY-QIZHONG,期中,20,3,主观题,倾向,B2 X1,B3 RE X2,4,B2 X1,,B2:设问点名:《当代国际政治与经济》；细则书名:B2；书稿已收:B2/X1 | X1:设问点名:《当代国际政治与经济》；细则书名:B2；书稿已收:B2/X1
BJ-2025-CY-ERMO-Q1,BJ-2025-CY-ERMO,二模,1,,选择题,倾向,B2 B3 CU PH,B1 X1,3,B2 CU PH,,B2:词典判给本模块题肢2个；位置先验0.24；书稿已收:B2/CU/PH | B3:词典判给本模块题肢2个；位置先验0.80；书稿已收:B2/CU/PH | CU:位置先验0.35；书稿已收:B2/CU/PH | PH:位置先验0.43；书稿已收:B2/CU/PH
BJ-2025-CY-ERMO-Q2,BJ-2025-CY-ERMO,二模,2,,选择题,不明,PH,B2 B3 CU RE,4,PH,,PH:位置先验0.47；书稿已收:PH
BJ-2025-CY-ERMO-Q3,BJ-2025-CY-ERMO,二模,3,,选择题,不明,CU PH,B2 B3 MI RE,3,CU PH,,CU:位置先验0.54；书稿已收:CU/PH | PH:词典判给本模块题肢1个；位置先验0.58；书稿已收:CU/PH
BJ-2025-CY-ERMO-Q4,BJ-2025-CY-ERMO,二模,4,,选择题,不明,CU PH,B2 B3 MI RE X1,2,CU PH,,CU:位置先验0.45；书稿已收:CU/PH | PH:位置先验0.58；书稿已收:CU/PH
BJ-2025-CY-ERMO-Q5,BJ-2025-CY-ERMO,二模,5,,选择题,不明,RE,B2 B3 CU MI PH X1,2,RE,,RE:词典判给本模块题肢4个；位置先验0.35；书稿已收:RE
BJ-2025-CY-ERMO-Q6,BJ-2025-CY-ERMO,二模,6,,选择题,不明,RE,B2 B3 CU MI PH,3,RE,,RE:位置先验0.47；书稿已收:RE
BJ-2025-CY-ERMO-Q7,BJ-2025-CY-ERMO,二模,7,,选择题,不明,MI PH RE,B2 B3 CU X1,2,MI PH RE,,MI:词典判给本模块题肢2个；位置先验0.32；书稿已收:MI/PH/RE | PH:位置先验0.25；书稿已收:MI/PH/RE | RE:词典判给本模块题肢2个；位置先验0.40；书稿已收:MI/PH/RE
BJ-2025-CY-ERMO-Q8,BJ-2025-CY-ERMO,二模,8,,选择题,倾向,B3,B1 B2 PH,5,B3,,B3:词典判给本模块题肢2个；位置先验0.71；书稿已收:B3
BJ-2025-CY-ERMO-Q9,BJ-2025-CY-ERMO,二模,9,,选择题,不明,B3 PH,B2 CU X1 X2,3,B3,,B3:位置先验0.67；书稿已收:B3 | PH:词典判给本模块题肢2个；位置先验0.13；书稿已收:B3
BJ-2025-CY-ERMO-Q10,BJ-2025-CY-ERMO,二模,10,,选择题,倾向,X2,B2 B3,6,X2,,X2:词典判给本模块题肢3个；位置先验0.60；书稿已收:X2
BJ-2025-CY-ERMO-Q11,BJ-2025-CY-ERMO,二模,11,,选择题,倾向,X2,B2 B3,6,X2,,X2:词典判给本模块题肢4个；位置先验0.67；书稿已收:X2
BJ-2025-CY-ERMO-Q12,BJ-2025-CY-ERMO,二模,12,,选择题,不明,B2,B3 MI RE X2,4,B2,,B2:词典判给本模块题肢1个；位置先验0.78；书稿已收:B2
BJ-2025-CY-ERMO-Q13,BJ-2025-CY-ERMO,二模,13,,选择题,倾向,B2,B3 MI RE,5,B2,,B2:词典判给本模块题肢2个；位置先验0.69；书稿已收:B2
BJ-2025-CY-ERMO-Q14,BJ-2025-CY-ERMO,二模,14,,选择题,不明,B2 X1,B1 B3 MI RE,3,B2 X1,,B2:词典判给本模块题肢2个；位置先验0.48；书稿已收:B2/X1 | X1:词典判给本模块题肢1个；位置先验0.69；书稿已收:B2/X1
BJ-2025-CY-ERMO-Q15,BJ-2025-CY-ERMO,二模,15,,选择题,不明,X1,B1 B2 B3 CU,4,X1,,X1:词典判给本模块题肢1个；位置先验0.80；书稿已收:X1
BJ-2025-CY-ERMO-Q16,BJ-2025-CY-ERMO,二模,16,,主观题,不明,CU PH,B2 MI RE X1,3,CU PH,,CU:设问点名:《哲学与文化》；细则书名:CU/PH；书稿已收:CU/PH | PH:设问点名:《哲学与文化》；细则书名:CU/PH；书稿已收:CU/PH
BJ-2025-CY-ERMO-Q17,BJ-2025-CY-ERMO,二模,17,,主观题,倾向,RE,B3 MI,6,RE,,RE:设问点名:《逻辑与思维》/推理类型/推理类型；细则书名:MI/RE；书稿已收:RE
BJ-2025-CY-ERMO-Q18,BJ-2025-CY-ERMO,二模,18,,主观题,倾向,B2,B3 X2,6,B2,,B2:设问点名:《经济与社会》；细则书名:B2；书稿已收:B2
BJ-2025-CY-ERMO-Q19,BJ-2025-CY-ERMO,二模,19,,主观题,不明,B3,B2 CU MI PH RE X1 X2,1,B3,,B3:设问点名:《政治与法治》；细则书名:B3；书稿已收:B3
BJ-2025-CY-ERMO-Q20(1),BJ-2025-CY-ERMO,二模,20,1,主观题,倾向,X2,PH,7,X2,,X2:设问点名:《法律与生活》；细则书名:X2；书稿已收:X2
BJ-2025-CY-ERMO-Q20(2),BJ-2025-CY-ERMO,二模,20,2,主观题,倾向,X2,PH,7,X2,,X2:细则书名:X2；书稿已收:X2
BJ-2025-CY-ERMO-Q21,BJ-2025-CY-ERMO,二模,21,,主观题,不明,X1,B2 CU PH RE,4,X1,,X1:设问点名:《当代国际政治与经济》；细则书名:X1；书稿已收:X1
BJ-2025-CY-ERMO-Q22,BJ-2025-CY-ERMO,二模,22,,主观题,不明,B1 B3 PH,B2 CU MI RE X1 X2,0,B3 PH,,B1:细则书名:B1/B3/CU/PH；书稿已收:B3/PH | B3:细则书名:B1/B3/CU/PH；书稿已收:B3/PH | PH:细则书名:B1/B3/CU/PH；书稿已收:B3/PH
BJ-2023-FT-ERMO-Q1,BJ-2023-FT-ERMO,二模,1,,选择题,不明,B1 X1,B2 B3 CU PH,3,,,B1:词典判给本模块题肢1个；位置先验0.56 | X1:词典判给本模块题肢2个；位置先验0.08
BJ-2023-FT-ERMO-Q2,BJ-2023-FT-ERMO,二模,2,,选择题,不明,B1 B2,B3 CU PH RE X1,2,B2,,B1:词典判给本模块题肢3个；位置先验0.04；书稿已收:B2 | B2:位置先验0.25；书稿已收:B2
BJ-2023-FT-ERMO-Q3,BJ-2023-FT-ERMO,二模,3,,选择题,不明,CU PH,B2 B3 MI RE,3,,,CU:词典判给本模块题肢2个；位置先验0.55 | PH:词典判给本模块题肢1个；位置先验0.59
BJ-2023-FT-ERMO-Q4,BJ-2023-FT-ERMO,二模,4,,选择题,不明,,B2 B3 CU MI PH RE,3,,,
BJ-2023-FT-ERMO-Q5,BJ-2023-FT-ERMO,二模,5,,选择题,不明,RE,B2 B3 CU MI PH,3,,,RE:词典判给本模块题肢2个；位置先验0.36
BJ-2023-FT-ERMO-Q6,BJ-2023-FT-ERMO,二模,6,,选择题,不明,B2,B3 CU MI PH RE,3,B2,,B2:词典判给本模块题肢2个；位置先验0.23；书稿已收:B2
BJ-2023-FT-ERMO-Q7,BJ-2023-FT-ERMO,二模,7,,选择题,不明,B2,B3 CU MI PH RE,3,B2,,B2:词典判给本模块题肢2个；位置先验0.26；书稿已收:B2
BJ-2023-FT-ERMO-Q8,BJ-2023-FT-ERMO,二模,8,,选择题,倾向,B2,B3 PH,6,B2,,B2:词典判给本模块题肢3个；位置先验0.29；书稿已收:B2
BJ-2023-FT-ERMO-Q9,BJ-2023-FT-ERMO,二模,9,,选择题,不明,B2,B3 CU PH X1 X2,3,B2,,B2:词典判给本模块题肢1个；位置先验0.33；书稿已收:B2
BJ-2023-FT-ERMO-Q10,BJ-2023-FT-ERMO,二模,10,,选择题,不明,B3,B2 CU PH X2,4,B3,,B3:位置先验0.35；书稿已收:B3
BJ-2023-FT-ERMO-Q11,BJ-2023-FT-ERMO,二模,11,,选择题,倾向,B2 B3,X1 X2,5,B3,,B2:词典判给本模块题肢2个；位置先验0.52；书稿已收:B3 | B3:词典判给本模块题肢4个；位置先验0.37；书稿已收:B3
BJ-2023-FT-ERMO-Q12,BJ-2023-FT-ERMO,二模,12,,选择题,倾向,X2,B2 B3 MI,5,,,X2:词典判给本模块题肢3个；位置先验0.14
BJ-2023-FT-ERMO-Q13,BJ-2023-FT-ERMO,二模,13,,选择题,不明,B2,B3 MI RE X2,4,B2,,B2:位置先验0.69；书稿已收:B2
BJ-2023-FT-ERMO-Q14,BJ-2023-FT-ERMO,二模,14,,选择题,不明,X1,B1 B2 B3 CU MI RE,2,,,X1:词典判给本模块题肢1个；位置先验0.69
BJ-2023-FT-ERMO-Q15,BJ-2023-FT-ERMO,二模,15,,选择题,倾向,B2 X1,B1 B3 CU,4,B2,,B2:位置先验0.29；书稿已收:B2 | X1:词典判给本模块题肢1个；位置先验0.82；书稿已收:B2
BJ-2023-FT-ERMO-Q16,BJ-2023-FT-ERMO,二模,16,,主观题,不明,B3,B1 B2 CU MI PH RE X1 X2,0,B3,,B3:设问点名:《中国特色社会主义》/《政治与法治》；书稿已收:B3
BJ-2023-FT-ERMO-Q17,BJ-2023-FT-ERMO,二模,17,,主观题,倾向,B3,B2 X2,6,,,B3:设问点名:《政治与法治》
BJ-2023-FT-ERMO-Q18(1),BJ-2023-FT-ERMO,二模,18,1,主观题,不明,,B1 B2 B3 CU MI PH RE X1 X2,0,,,
BJ-2023-FT-ERMO-Q18(2),BJ-2023-FT-ERMO,二模,18,2,主观题,不明,X1,B2 PH RE X2,4,,,X1:设问点名:《当代国际政治与经济》
BJ-2023-FT-ERMO-Q19,BJ-2023-FT-ERMO,二模,19,,主观题,不明,,B1 B2 B3 CU MI PH RE X1 X2,0,,,
BJ-2023-FT-ERMO-Q20,BJ-2023-FT-ERMO,二模,20,,主观题,倾向,B2,B3 X2,6,,,B2:设问点名:《经济与社会》
BJ-2023-FT-ERMO-Q21,BJ-2023-FT-ERMO,二模,21,,主观题,不明,,CU PH X2,6,,,
BJ-2023-FT-ERMO-Q22,BJ-2023-FT-ERMO,二模,22,,主观题,不明,MI,B1 B2 B3 PH X1 X2,2,,,MI:设问点名:科学思维
BJ-2020-BJ-GAOKAO-Q1,BJ-2020-BJ-GAOKAO,高考,1,,选择题,不明,CU,B1 B2 B3 PH,4,CU,,CU:词典判给本模块题肢1个；位置先验0.40；书稿已收:CU
BJ-2020-BJ-GAOKAO-Q2,BJ-2020-BJ-GAOKAO,高考,2,,选择题,倾向,CU PH,B2 B3,5,CU PH,,CU:考查语:CU；词典判给本模块题肢1个；位置先验0.55；书稿已收:CU/PH | PH:考查语:CU；位置先验0.47；书稿已收:CU/PH
BJ-2020-BJ-GAOKAO-Q3,BJ-2020-BJ-GAOKAO,高考,3,,选择题,不明,CU,B2 B3 MI PH RE,3,CU,,CU:词典判给本模块题肢1个；位置先验0.52；书稿已收:CU
