qid,exam,num,type,n_books,philosophy,culture,xuanbi1,xuanbi2,mind,reasoning,bixiu2,bixiu3,dup_of,dup_covered_by
BJ-2023-FT-YIMO-Q1,BJ-2023-FT-YIMO,1,选择题,0,,,,,,,,,,
BJ-2023-FT-YIMO-Q2,BJ-2023-FT-YIMO,2,选择题,1,,,,,,,,S,,
BJ-2023-FT-YIMO-Q3,BJ-2023-FT-YIMO,3,选择题,1,,,,,,,,S,,
BJ-2023-FT-YIMO-Q4,BJ-2023-FT-YIMO,4,选择题,2,,,,,,,S,S,,
BJ-2023-FT-YIMO-Q5,BJ-2023-FT-YIMO,5,选择题,0,,,,,,,,,,
BJ-2023-FT-YIMO-Q6,BJ-2023-FT-YIMO,6,选择题,0,,,,,,,,,,
BJ-2023-FT-YIMO-Q7,BJ-2023-FT-YIMO,7,选择题,0,,,,,,,,,,
BJ-2023-FT-YIMO-Q8,BJ-2023-FT-YIMO,8,选择题,1,,,,,,,S,,,
BJ-2023-FT-YIMO-Q9,BJ-2023-FT-YIMO,9,选择题,1,,,,,,,S,,,
BJ-2023-FT-YIMO-Q10,BJ-2023-FT-YIMO,10,选择题,1,,,,,,,S,,,
BJ-2023-FT-YIMO-Q11,BJ-2023-FT-YIMO,11,选择题,0,,,,,,,,,,
BJ-2023-FT-YIMO-Q12,BJ-2023-FT-YIMO,12,选择题,0,,,,,,,,,,
BJ-2023-FT-YIMO-Q13,BJ-2023-FT-YIMO,13,选择题,1,,,,,,,S,,,
BJ-2023-FT-YIMO-Q14,BJ-2023-FT-YIMO,14,选择题,0,,,,,,,,,,
BJ-2023-FT-YIMO-Q15,BJ-2023-FT-YIMO,15,选择题,0,,,,,,,,,,
BJ-2023-FT-YIMO-Q16,BJ-2023-FT-YIMO,16,非选择题,0,,,,,,,,,,
BJ-2023-FT-YIMO-Q17,BJ-2023-FT-YIMO,17,非选择题,0,,,,,,,,,,
BJ-2023-FT-YIMO-Q18,BJ-2023-FT-YIMO,18,非选择题,0,,,,,,,,,,
BJ-2023-FT-YIMO-Q19,BJ-2023-FT-YIMO,19,非选择题,0,,,,,,,,,,
BJ-2023-FT-YIMO-Q20,BJ-2023-FT-YIMO,20,非选择题,0,,,,,,,,,,
BJ-2023-FT-YIMO-Q21,BJ-2023-FT-YIMO,21,非选择题,0,,,,,,,,,,
BJ-2023-FT-YIMO-Q22,BJ-2023-FT-YIMO,22,非选择题,0,,,,,,,,,BJ-2026-FT-YIMO-Q21,bixiu3;philosophy
BJ-2024-CY-QIZHONG-Q1,BJ-2024-CY-QIZHONG,1,选择题,2,S,S,,,,,,,,
BJ-2024-CY-QIZHONG-Q2,BJ-2024-CY-QIZHONG,2,选择题,1,,S,,,,,,,,
BJ-2024-CY-QIZHONG-Q3,BJ-2024-CY-QIZHONG,3,选择题,1,S,,,,,,,,,
BJ-2024-CY-QIZHONG-Q4,BJ-2024-CY-QIZHONG,4,选择题,1,S,,,,,,,,,
BJ-2024-CY-QIZHONG-Q5,BJ-2024-CY-QIZHONG,5,选择题,2,S,,,,,S,,,,
BJ-2024-CY-QIZHONG-Q6,BJ-2024-CY-QIZHONG,6,选择题,2,S,S,,,,,,,,
BJ-2024-CY-QIZHONG-Q7,BJ-2024-CY-QIZHONG,7,选择题,1,,,,,,S,,,,
BJ-2024-CY-QIZHONG-Q8,BJ-2024-CY-QIZHONG,8,选择题,1,,,,,,S,,,,
BJ-2024-CY-QIZHONG-Q9,BJ-2024-CY-QIZHONG,9,选择题,1,,,,,,S,,,,
