unit_id,qid,exam_id_raw,exam_id_canonical,num,type,subq,grain,content_fingerprint,script_tier,归属_B1,归属_B2,归属_B3,归属_PH,归属_CU,归属_X1,归属_X2,归属_MI,归属_RE,admission,evidence,downgrade_notes,dup_of,dup_covered_by,conflict_script_out,rule_version,source,ruled
BJ-2023-FT-YIMO-Q1,BJ-2023-FT-YIMO-Q1,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,1,选择题,,整题,0cca343b39032bbd,不明,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,OUT,OUT,OUT,OUT,完整题-选择题照收,缺答案键,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2023-FT-YIMO-Q2,BJ-2023-FT-YIMO-Q2,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,2,选择题,,整题,d9f017ba6bfef58c,不明,OUT,MAYBE,COLLECTED,MAYBE,MAYBE,OUT,OUT,OUT,MAYBE,完整题-选择题照收,缺答案键,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2023-FT-YIMO-Q3,BJ-2023-FT-YIMO-Q3,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,3,选择题,,整题,4233711d89001104,不明,OUT,MAYBE,COLLECTED,MAYBE,MAYBE,MAYBE,OUT,MAYBE,MAYBE,完整题-选择题照收,缺答案键,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2023-FT-YIMO-Q4,BJ-2023-FT-YIMO-Q4,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,4,选择题,,整题,cc9d7aba866d6d1d,不明,OUT,COLLECTED,COLLECTED,MAYBE,MAYBE,OUT,OUT,MAYBE,MAYBE,完整题-选择题照收,缺答案键,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2023-FT-YIMO-Q5,BJ-2023-FT-YIMO-Q5,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,5,选择题,,整题,443a5bb6c85aa2a2,不明,OUT,MAYBE,MAYBE,MAYBE,IN,OUT,OUT,MAYBE,MAYBE,完整题-选择题照收,缺答案键,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2023-FT-YIMO-Q6,BJ-2023-FT-YIMO-Q6,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,6,选择题,,整题,e13f7ebe9cad78d9,不明,OUT,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,OUT,MAYBE,MAYBE,完整题-选择题照收,缺答案键,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2023-FT-YIMO-Q7,BJ-2023-FT-YIMO-Q7,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,7,选择题,,整题,9fecf8925506fb62,不明,MAYBE,MAYBE,MAYBE,MAYBE,MAYBE,OUT,OUT,MAYBE,MAYBE,完整题-选择题照收,缺答案键,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2023-FT-YIMO-Q8,BJ-2023-FT-YIMO-Q8,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,8,选择题,,整题,19f754d4818b4354,倾向,OUT,COLLECTED,MAYBE,MAYBE,OUT,OUT,OUT,OUT,OUT,完整题-选择题照收,缺答案键,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2023-FT-YIMO-Q9,BJ-2023-FT-YIMO-Q9,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,9,选择题,,整题,56cb44ce619a1a90,不明,OUT,COLLECTED,MAYBE,MAYBE,MAYBE,OUT,MAYBE,OUT,OUT,完整题-选择题照收,缺答案键,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2023-FT-YIMO-Q10,BJ-2023-FT-YIMO-Q10,BJ-2023-FT-YIMO,BJ-2023-FT-YIMO,10,选择题,,整题,4c0d566bf6b22d15,倾向,OUT,COLLECTED,MAYBE,OUT,OUT,OUT,MAYBE,OUT,OUT,完整题-选择题照收,缺答案键,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
