unit_id,qid,exam_id_canonical,num,type,subq,grain,归属_B2,conflict_script_out,admission,evidence,script_tier,rule_version
BJ-2024-CY-ERMO-Q20,BJ-2024-CY-ERMO-Q20,BJ-2024-CY-ERMO,20,主观题,,整题,COLLECTED,B2,完整题-有E1,E1,倾向,2026-09-24-attribution-v1
BJ-2024-HD-QIZHONG-Q18,BJ-2024-HD-QIZHONG-Q18,BJ-2024-HD-QIZHONG,18,主观题,,整题,COLLECTED,B2,完整题-有E1,E1,倾向,2026-09-24-attribution-v1
BJ-2024-HD-QIZHONG-Q19,BJ-2024-HD-QIZHONG-Q19,BJ-2024-HD-QIZHONG,19,主观题,,整题,COLLECTED,B2,完整题-有E1,E1,倾向,2026-09-24-attribution-v1
BJ-2026-CY-QIMO-Q7,BJ-2026-CY-QIMO-Q7,BJ-2026-CY-QIMO,7,选择题,,整题,COLLECTED,B2,完整题-选择题照收,E1,不明,2026-09-24-attribution-v1
BJ-2023-HD-ERMO-Q20#2,BJ-2023-HD-ERMO-Q20,BJ-2023-HD-ERMO,20,主观题,2,小问,COLLECTED,B2,完整题-有E1,E1,不明,2026-09-24-attribution-v1
BJ-2023-HD-YIMO-Q16,BJ-2023-HD-YIMO-Q16,BJ-2023-HD-YIMO,16,主观题,,整题,COLLECTED,B2,不收-无E1,缺细则,不明,2026-09-24-attribution-v1
BJ-2023-XC-YIMO-Q18,BJ-2023-XC-YIMO-Q18,BJ-2023-XC-YIMO,18,主观题,,整题,COLLECTED,B2,完整题-有E1,E1,不明,2026-09-24-attribution-v1
BJ-2023-XC-ERMO-Q19,BJ-2023-XC-ERMO-Q19,BJ-2023-XC-ERMO,19,主观题,,整题,COLLECTED,B2,完整题-有E1,E1,倾向,2026-09-24-attribution-v1
BJ-2024-HD-YIMO-Q19,BJ-2024-HD-YIMO-Q19,BJ-2024-HD-YIMO,19,主观题,,整题,COLLECTED,B2,不收-无E1,缺细则,倾向,2026-09-24-attribution-v1
BJ-2025-FT-YIMO-Q18,BJ-2025-FT-YIMO-Q18,BJ-2025-FT-YIMO,18,选择题,,整题,COLLECTED,MI;B2;PH,完整题-选择题照收,缺答案键,确定,2026-09-24-attribution-v1
BJ-2025-SJS-YIMO-Q17,BJ-2025-SJS-YIMO-Q17,BJ-2025-SJS-YIMO,17,主观题,,整题,COLLECTED,B2;B3,完整题-有E1,E1,确定,2026-09-24-attribution-v1
BJ-2025-SY-YIMO-Q20,BJ-2025-SY-YIMO-Q20,BJ-2025-SY-YIMO,20,主观题,,整题,COLLECTED,B2,完整题-有E1,E1,确定,2026-09-24-attribution-v1
BJ-2025-HD-ERMO-Q21,BJ-2025-HD-ERMO-Q21,BJ-2025-HD-ERMO,21,主观题,,整题,COLLECTED,B2,完整题-有E1,E1,倾向,2026-09-24-attribution-v1
BJ-2025-CY-QIMO-Q17,BJ-2025-CY-QIMO-Q17,BJ-2025-CY-QIMO,17,主观题,,整题,COLLECTED,B2,不收-无E1,缺细则,倾向,2026-09-24-attribution-v1
BJ-2025-HD-QIMO-Q21,BJ-2025-HD-QIMO-Q21,BJ-2025-HD-QIMO,21,主观题,,整题,COLLECTED,B2,完整题-有E1,E1,确定,2026-09-24-attribution-v1
BJ-2025-XC-QIMO-Q8,BJ-2025-XC-QIMO-Q8,BJ-2025-XC-QIMO,8,选择题,,整题,COLLECTED,B2,完整题-选择题照收,E1,不明,2026-09-24-attribution-v1
BJ-2026-FS-YIMO-Q19,BJ-2026-FS-YIMO-Q19,BJ-2026-FS-YIMO,19,主观题,,整题,COLLECTED,B2,不收-无E1,缺细则,确定,2026-09-24-attribution-v1
BJ-2026-XC-YIMO-Q20#2,BJ-2026-XC-YIMO-Q20,BJ-2026-XC-YIMO,20,主观题,2,小问,COLLECTED,B2,不收-无E1,缺细则,确定,2026-09-24-attribution-v1
BJ-2026-FT-ERMO-Q17,BJ-2026-FT-ERMO-Q17,BJ-2026-FT-ERMO,17,主观题,,整题,COLLECTED,B2,完整题-有E1,E1,不明,2026-09-24-attribution-v1
BJ-2026-FT-QIMO-Q19,BJ-2026-FT-QIMO-Q19,BJ-2026-FT-QIMO,19,主观题,,整题,COLLECTED,B2,完整题-有E1,E1,倾向,2026-09-24-attribution-v1
BJ-2026-FT-QIMO-Q17,BJ-2026-FT-QIMO-Q17,BJ-2026-FT-QIMO,17,主观题,,整题,COLLECTED,B2,完整题-有E1,E1,确定,2026-09-24-attribution-v1
BJ-2026-HD-QIMO-Q19,BJ-2026-HD-QIMO-Q19,BJ-2026-HD-QIMO,19,主观题,,整题,COLLECTED,B2,完整题-有E1,E1,倾向,2026-09-24-attribution-v1
BJ-2024-BJ-GAOKAO-Q20,BJ-2024-BJ-GAOKAO-Q20,BJ-2024-BJ-GAOKAO,20,主观题,,整题,COLLECTED,B2,不收-无E1,缺细则,倾向,2026-09-24-attribution-v1
