unit_id,qid,exam_id_canonical,num,type,subq,grain,归属_B2,admission,evidence,downgrade_notes,script_tier,rule_version
BJ-2023-FT-YIMO-Q1,BJ-2023-FT-YIMO-Q1,BJ-2023-FT-YIMO,1,选择题,,整题,MAYBE,完整题-选择题照收,缺答案键,,不明,2026-09-24-attribution-v1
BJ-2023-FT-YIMO-Q2,BJ-2023-FT-YIMO-Q2,BJ-2023-FT-YIMO,2,选择题,,整题,MAYBE,完整题-选择题照收,缺答案键,,不明,2026-09-24-attribution-v1
BJ-2023-FT-YIMO-Q3,BJ-2023-FT-YIMO-Q3,BJ-2023-FT-YIMO,3,选择题,,整题,MAYBE,完整题-选择题照收,缺答案键,,不明,2026-09-24-attribution-v1
BJ-2023-FT-YIMO-Q5,BJ-2023-FT-YIMO-Q5,BJ-2023-FT-YIMO,5,选择题,,整题,MAYBE,完整题-选择题照收,缺答案键,,不明,2026-09-24-attribution-v1
BJ-2023-FT-YIMO-Q6,BJ-2023-FT-YIMO-Q6,BJ-2023-FT-YIMO,6,选择题,,整题,MAYBE,完整题-选择题照收,缺答案键,,不明,2026-09-24-attribution-v1
BJ-2023-FT-YIMO-Q7,BJ-2023-FT-YIMO-Q7,BJ-2023-FT-YIMO,7,选择题,,整题,MAYBE,完整题-选择题照收,缺答案键,,不明,2026-09-24-attribution-v1
BJ-2023-FT-YIMO-Q11,BJ-2023-FT-YIMO-Q11,BJ-2023-FT-YIMO,11,选择题,,整题,MAYBE,完整题-选择题照收,缺答案键,,倾向,2026-09-24-attribution-v1
BJ-2023-FT-YIMO-Q12,BJ-2023-FT-YIMO-Q12,BJ-2023-FT-YIMO,12,选择题,,整题,MAYBE,完整题-选择题照收,缺答案键,,不明,2026-09-24-attribution-v1
BJ-2023-FT-YIMO-Q14,BJ-2023-FT-YIMO-Q14,BJ-2023-FT-YIMO,14,选择题,,整题,MAYBE,完整题-选择题照收,缺答案键,,不明,2026-09-24-attribution-v1
BJ-2023-FT-YIMO-Q15,BJ-2023-FT-YIMO-Q15,BJ-2023-FT-YIMO,15,选择题,,整题,MAYBE,完整题-选择题照收,缺答案键,,不明,2026-09-24-attribution-v1
BJ-2023-FT-YIMO-Q16,BJ-2023-FT-YIMO-Q16,BJ-2023-FT-YIMO,16,主观题,,整题,MAYBE,不收-无E1,缺细则,,不明,2026-09-24-attribution-v1
BJ-2023-FT-YIMO-Q17#1,BJ-2023-FT-YIMO-Q17,BJ-2023-FT-YIMO,17,主观题,1,小问,MAYBE,不收-无E1,缺细则,B1:rubric_unreadable_not_OUT;X2:rubric_unreadable_not_OUT;MI:rubric_unreadable_not_OUT;RE:rubric_unreadable_not_OUT,不明,2026-09-24-attribution-v1
BJ-2023-FT-YIMO-Q17#2,BJ-2023-FT-YIMO-Q17,BJ-2023-FT-YIMO,17,主观题,2,小问,MAYBE,不收-无E1,缺细则,,不明,2026-09-24-attribution-v1
BJ-2023-FT-YIMO-Q18,BJ-2023-FT-YIMO-Q18,BJ-2023-FT-YIMO,18,主观题,,整题,MAYBE,不收-无E1,缺细则,,不明,2026-09-24-attribution-v1
