unit_id,qid,exam_id_canonical,num,type,subq,grain,归属_CU,conflict_script_out,admission,evidence,script_tier,rule_version
BJ-2022-BJ-GAOKAO-Q12,BJ-2022-BJ-GAOKAO-Q12,BJ-2022-BJ-GAOKAO,12,选择题,,整题,COLLECTED,CU,完整题-选择题照收,E1,倾向,2026-09-24-attribution-v1
BJ-2024-DC-YIMO-Q15,BJ-2024-DC-YIMO-Q15,BJ-2024-DC-YIMO,15,选择题,,整题,COLLECTED,PH;CU,完整题-选择题照收,E1,倾向,2026-09-24-attribution-v1
BJ-2024-FT-ERMO-Q11,BJ-2024-FT-ERMO-Q11,BJ-2024-FT-ERMO,11,选择题,,整题,COLLECTED,CU,完整题-选择题照收,E1,倾向,2026-09-24-attribution-v1
BJ-2024-HD-ERMO-Q8,BJ-2024-HD-ERMO-Q8,BJ-2024-HD-ERMO,8,选择题,,整题,COLLECTED,CU,完整题-选择题照收,缺答案键,倾向,2026-09-24-attribution-v1
BJ-2024-HD-ERMO-Q15,BJ-2024-HD-ERMO-Q15,BJ-2024-HD-ERMO,15,选择题,,整题,COLLECTED,CU,完整题-选择题照收,缺答案键,倾向,2026-09-24-attribution-v1
BJ-2024-SJS-YIMO-Q13,BJ-2024-SJS-YIMO-Q13,BJ-2024-SJS-YIMO,13,选择题,,整题,COLLECTED,CU,完整题-选择题照收,E1,不明,2026-09-24-attribution-v1
BJ-2024-XC-YIMO-Q10,BJ-2024-XC-YIMO-Q10,BJ-2024-XC-YIMO,10,选择题,,整题,COLLECTED,PH;CU,完整题-选择题照收,E1,不明,2026-09-24-attribution-v1
BJ-2024-XC-YIMO-Q15,BJ-2024-XC-YIMO-Q15,BJ-2024-XC-YIMO,15,选择题,,整题,COLLECTED,CU,完整题-选择题照收,E1,倾向,2026-09-24-attribution-v1
BJ-2025-DC-YIMO-Q14,BJ-2025-DC-YIMO-Q14,BJ-2025-DC-YIMO,14,选择题,,整题,COLLECTED,CU,完整题-选择题照收,E1,不明,2026-09-24-attribution-v1
BJ-2025-SJS-YIMO-Q8,BJ-2025-SJS-YIMO-Q8,BJ-2025-SJS-YIMO,8,选择题,,整题,COLLECTED,CU,完整题-选择题照收,E1,倾向,2026-09-24-attribution-v1
BJ-2025-SY-YIMO-Q11,BJ-2025-SY-YIMO-Q11,BJ-2025-SY-YIMO,11,选择题,,整题,COLLECTED,CU,完整题-选择题照收,E1,倾向,2026-09-24-attribution-v1
BJ-2025-XC-ERMO-Q12,BJ-2025-XC-ERMO-Q12,BJ-2025-XC-ERMO,12,选择题,,整题,COLLECTED,CU,完整题-选择题照收,E1,不明,2026-09-24-attribution-v1
BJ-2025-CY-QIMO-Q7,BJ-2025-CY-QIMO-Q7,BJ-2025-CY-QIMO,7,选择题,,整题,COLLECTED,CU,完整题-选择题照收,缺答案键,不明,2026-09-24-attribution-v1
BJ-2026-YQ-YIMO-Q11,BJ-2026-YQ-YIMO-Q11,BJ-2026-YQ-YIMO,11,选择题,,整题,COLLECTED,CU,完整题-选择题照收,E1,倾向,2026-09-24-attribution-v1
BJ-2026-FT-QIMO-Q11,BJ-2026-FT-QIMO-Q11,BJ-2026-FT-QIMO,11,选择题,,整题,COLLECTED,CU,完整题-选择题照收,E1,倾向,2026-09-24-attribution-v1
BJ-2026-HD-QIZHONG-Q13,BJ-2026-HD-QIZHONG-Q13,BJ-2026-HD-QIZHONG,13,选择题,,整题,COLLECTED,CU,完整题-选择题照收,缺答案键,不明,2026-09-24-attribution-v1
BJ-2024-XC-ERMO-Q15,BJ-2024-XC-ERMO-Q15,BJ-2024-XC-ERMO,15,选择题,,整题,COLLECTED,CU,完整题-选择题照收,缺答案键,不明,2026-09-24-attribution-v1
