unit_id,qid,canonical_qid,exam_id_canonical,num,type,subq,grain,归属_CU,conflict_script_out,admission,evidence,evidence_detail,script_tier,rule_version
BJ-2022-BJ-GAOKAO-Q12,BJ-2022-BJ-GAOKAO-Q12,BJ-2022-BJ-GAOKAO-Q12,BJ-2022-BJ-GAOKAO,12,选择题,,整题,COLLECTED,CU,完整题-选择题照收,E3,逐题已匹配参考答案,倾向,2026-09-24-attribution-v3
BJ-2024-DC-YIMO-Q15,BJ-2024-DC-YIMO-Q15,BJ-2024-DC-YIMO-Q15,BJ-2024-DC-YIMO,15,选择题,,整题,COLLECTED,PH;CU,完整题-选择题照收,E3,该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判（同时已有匹配参考答案，选择题按E3计，正式评分材料候选仍待核实）,倾向,2026-09-24-attribution-v3
BJ-2024-FT-ERMO-Q11,BJ-2024-FT-ERMO-Q11,BJ-2024-FT-ERMO-Q11,BJ-2024-FT-ERMO,11,选择题,,整题,COLLECTED,CU,完整题-选择题照收,答案键来源未核实(候选未确认),该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,倾向,2026-09-24-attribution-v3
BJ-2024-HD-ERMO-Q8,BJ-2024-HD-ERMO-Q8,BJ-2024-HD-ERMO-Q8,BJ-2024-HD-ERMO,8,选择题,,整题,COLLECTED,CU,完整题-选择题照收,E3,该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判（同时已有匹配参考答案，选择题按E3计，正式评分材料候选仍待核实）,倾向,2026-09-24-attribution-v3
BJ-2024-HD-ERMO-Q15,BJ-2024-HD-ERMO-Q15,BJ-2024-HD-ERMO-Q15,BJ-2024-HD-ERMO,15,选择题,,整题,COLLECTED,CU,完整题-选择题照收,E3,该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判（同时已有匹配参考答案，选择题按E3计，正式评分材料候选仍待核实）,倾向,2026-09-24-attribution-v3
BJ-2024-SJS-YIMO-Q13,BJ-2024-SJS-YIMO-Q13,BJ-2024-SJS-YIMO-Q13,BJ-2024-SJS-YIMO,13,选择题,,整题,COLLECTED,CU,完整题-选择题照收,答案键来源未核实(候选未确认),该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,不明,2026-09-24-attribution-v3
BJ-2024-XC-YIMO-Q10,BJ-2024-XC-YIMO-Q10,BJ-2024-XC-YIMO-Q10,BJ-2024-XC-YIMO,10,选择题,,整题,COLLECTED,PH;CU,完整题-选择题照收,E3,该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判（同时已有匹配参考答案，选择题按E3计，正式评分材料候选仍待核实）,不明,2026-09-24-attribution-v3
BJ-2024-XC-YIMO-Q15,BJ-2024-XC-YIMO-Q15,BJ-2024-XC-YIMO-Q15,BJ-2024-XC-YIMO,15,选择题,,整题,COLLECTED,CU,完整题-选择题照收,E3,该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判（同时已有匹配参考答案，选择题按E3计，正式评分材料候选仍待核实）,倾向,2026-09-24-attribution-v3
BJ-2025-DC-YIMO-Q14,BJ-2025-DC-YIMO-Q14,BJ-2025-DC-YIMO-Q14,BJ-2025-DC-YIMO,14,选择题,,整题,COLLECTED,CU,完整题-选择题照收,答案键来源未核实(候选未确认),该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,不明,2026-09-24-attribution-v3
BJ-2025-SJS-YIMO-Q8,BJ-2025-SJS-YIMO-Q8,BJ-2025-SJS-YIMO-Q8,BJ-2025-SJS-YIMO,8,选择题,,整题,COLLECTED,CU,完整题-选择题照收,答案键来源未核实(候选未确认),该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,倾向,2026-09-24-attribution-v3
BJ-2025-SY-YIMO-Q11,BJ-2025-SY-YIMO-Q11,BJ-2025-SY-YIMO-Q11,BJ-2025-SY-YIMO,11,选择题,,整题,COLLECTED,CU,完整题-选择题照收,答案键来源未核实(候选未确认),该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,倾向,2026-09-24-attribution-v3
BJ-2025-XC-ERMO-Q12,BJ-2025-XC-ERMO-Q12,BJ-2025-XC-ERMO-Q12,BJ-2025-XC-ERMO,12,选择题,,整题,COLLECTED,CU,完整题-选择题照收,答案键来源未核实(候选未确认),该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,不明,2026-09-24-attribution-v3
BJ-2025-CY-QIMO-Q7,BJ-2025-CY-QIMO-Q7,BJ-2025-CY-QIMO-Q7,BJ-2025-CY-QIMO,7,选择题,,整题,COLLECTED,CU,完整题-选择题照收,答案键来源未核实(候选未确认),该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,不明,2026-09-24-attribution-v3
BJ-2026-YQ-YIMO-Q11,BJ-2026-YQ-YIMO-Q11,BJ-2026-YQ-YIMO-Q11,BJ-2026-YQ-YIMO,11,选择题,,整题,COLLECTED,CU,完整题-选择题照收,答案键来源未核实(候选未确认),该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,倾向,2026-09-24-attribution-v3
BJ-2026-FT-QIMO-Q11,BJ-2026-FT-QIMO-Q11,BJ-2026-FT-QIMO-Q11,BJ-2026-FT-QIMO,11,选择题,,整题,COLLECTED,CU,完整题-选择题照收,答案键来源未核实(候选未确认),该题正式评分材料候选存在候选/存在冲突，未确认匹配，不下判,倾向,2026-09-24-attribution-v3
BJ-2026-HD-QIZHONG-Q13,BJ-2026-HD-QIZHONG-Q13,BJ-2026-HD-QIZHONG-Q13,BJ-2026-HD-QIZHONG,13,选择题,,整题,COLLECTED,CU,完整题-选择题照收,缺答案键,"未在rubric_links.csv找到该题任何行(未核实,不是已确认无)",不明,2026-09-24-attribution-v3
BJ-2024-XC-ERMO-Q15,BJ-2024-XC-ERMO-Q15,BJ-2024-XC-ERMO-Q15,BJ-2024-XC-ERMO,15,选择题,,整题,COLLECTED,CU,完整题-选择题照收,缺答案键,"未在rubric_links.csv找到该题任何行(未核实,不是已确认无)",不明,2026-09-24-attribution-v3
